tokens_generated,total_time_seconds,tokens_per_second,peak_vram_mb,kv_cache_method,perplexity,sample_id,dataset,baseline,window_size,max_new_tokens,exact_match,f1
51,1.348496913909912,37.81988632968211,1017.556640625,full,7.503246784210205,narrativeqa_27,narrativeqa,full,N/A,64,0.0,0.0625
64,1.6721010208129883,38.27519940684129,1017.556640625,full,10.02595043182373,narrativeqa_28,narrativeqa,full,N/A,64,0.0,0.0
64,1.5970377922058105,40.07419255345481,992.18212890625,full,21.86858367919922,narrativeqa_29,narrativeqa,full,N/A,64,0.0,0.05714285714285715
64,1.6679527759552002,38.370390890322774,992.12939453125,full,8.275712966918945,narrativeqa_30,narrativeqa,full,N/A,64,0.0,0.06666666666666667
64,1.7064876556396484,37.5039337603709,992.12939453125,full,12.261710166931152,narrativeqa_31,narrativeqa,full,N/A,64,0.0,0.0689655172413793
64,1.710259199142456,37.421228333161636,992.44873046875,full,19.20374870300293,narrativeqa_32,narrativeqa,full,N/A,64,0.0,0.0
64,1.7089166641235352,37.4506266710344,992.15576171875,full,13.974432945251465,narrativeqa_33,narrativeqa,full,N/A,64,0.0,0.08695652173913045
64,1.7137267589569092,37.34551010859792,992.23583984375,full,9.847039222717285,narrativeqa_34,narrativeqa,full,N/A,64,0.0,0.0
64,1.7087113857269287,37.45512585366943,992.18212890625,full,10.566356658935547,narrativeqa_35,narrativeqa,full,N/A,64,0.0,0.09523809523809523
10,0.3062410354614258,32.65401707165924,992.10302734375,full,205.15420532226562,narrativeqa_36,narrativeqa,full,N/A,64,0.0,0.5
64,1.6773240566253662,38.15601388843285,992.15576171875,full,17.814861297607422,narrativeqa_37,narrativeqa,full,N/A,64,0.0,0.0
64,1.6822752952575684,38.043713879898085,992.07568359375,full,4.894299507141113,narrativeqa_38,narrativeqa,full,N/A,64,0.0,0.0909090909090909
64,1.5886142253875732,40.286684443094394,992.36865234375,full,8.934309959411621,narrativeqa_39,narrativeqa,full,N/A,64,0.0,0.11538461538461539
64,1.589986801147461,40.25190646476594,992.12939453125,full,9.607659339904785,narrativeqa_40,narrativeqa,full,N/A,64,0.0,0.10256410256410256
64,1.5892162322998047,40.271423547809846,992.42236328125,full,16.672624588012695,narrativeqa_41,narrativeqa,full,N/A,64,0.0,0.09523809523809523
64,1.588146448135376,40.29855059975208,992.12939453125,full,10.324836730957031,narrativeqa_42,narrativeqa,full,N/A,64,0.0,0.0588235294117647
64,1.5893051624298096,40.26917014612447,992.23583984375,full,9.150285720825195,narrativeqa_43,narrativeqa,full,N/A,64,0.0,0.0
64,1.5886354446411133,40.28614633765657,992.31591796875,full,4.555775165557861,narrativeqa_44,narrativeqa,full,N/A,64,0.0,0.0784313725490196
64,1.590613603591919,40.23604466570347,992.34228515625,full,20.384033203125,narrativeqa_45,narrativeqa,full,N/A,64,0.0,0.24489795918367344
64,1.5861194133758545,40.35005149062774,992.15576171875,full,4.872226238250732,narrativeqa_46,narrativeqa,full,N/A,64,0.0,0.08333333333333333
23,0.5992743968963623,38.37974743976521,992.23583984375,full,88.26678466796875,narrativeqa_47,narrativeqa,full,N/A,64,0.0,0.16666666666666669
64,1.5911033153533936,40.22366076572797,992.36865234375,full,5.7314934730529785,narrativeqa_48,narrativeqa,full,N/A,64,0.0,0.05882352941176471
64,1.5868685245513916,40.33100348883209,992.31591796875,full,19.102943420410156,narrativeqa_49,narrativeqa,full,N/A,64,0.0,0.1621621621621622
64,1.5878677368164062,40.30562402402403,992.34228515625,full,15.909699440002441,narrativeqa_50,narrativeqa,full,N/A,64,0.0,0.05555555555555556
64,1.5879132747650146,40.30446814513277,992.36865234375,full,13.658495903015137,narrativeqa_51,narrativeqa,full,N/A,64,0.0,0.12000000000000001
64,1.590280532836914,40.24447176362644,992.20947265625,full,7.9850873947143555,narrativeqa_52,narrativeqa,full,N/A,64,0.0,0.08333333333333333
64,1.5885579586029053,40.288111399024,992.04931640625,full,8.487126350402832,narrativeqa_53,narrativeqa,full,N/A,64,0.0,0.0
64,1.5849647521972656,40.37944686862949,992.12939453125,full,6.692692756652832,narrativeqa_54,narrativeqa,full,N/A,64,0.0,0.07692307692307693
64,1.586616039276123,40.337421541004545,992.42236328125,full,27.279869079589844,narrativeqa_55,narrativeqa,full,N/A,64,0.0,0.1777777777777778
64,1.5904078483581543,40.24125010831022,992.18212890625,full,14.251718521118164,narrativeqa_56,narrativeqa,full,N/A,64,0.0,0.05
64,1.5876412391662598,40.31137414496062,992.18212890625,full,5.704714775085449,narrativeqa_57,narrativeqa,full,N/A,64,0.0,0.12121212121212122
28,0.7257580757141113,38.580349205827766,993.0615234375,full,62.09535217285156,narrativeqa_58,narrativeqa,full,N/A,64,0.0,0.19999999999999998
64,1.5922040939331055,40.195851928696825,993.0888671875,full,9.521066665649414,narrativeqa_59,narrativeqa,full,N/A,64,0.0,0.20512820512820512
64,1.5971250534057617,40.07200304292034,993.1162109375,full,10.106447219848633,narrativeqa_60,narrativeqa,full,N/A,64,0.0,0.10526315789473684
64,1.5944058895111084,40.14034344769278,993.0888671875,full,10.228804588317871,narrativeqa_61,narrativeqa,full,N/A,64,0.0,0.18604651162790695
35,0.8951461315155029,39.09976122082346,993.0615234375,full,22.465667724609375,narrativeqa_62,narrativeqa,full,N/A,64,0.0,0.2608695652173913
64,1.5932643413543701,40.16910335518848,993.1435546875,full,4.605776786804199,narrativeqa_63,narrativeqa,full,N/A,64,0.0,0.14634146341463414
33,0.8489611148834229,38.87103828604856,993.0615234375,full,61.28264236450195,narrativeqa_64,narrativeqa,full,N/A,64,0.0,0.17391304347826084
64,1.596177339553833,40.09579538191503,992.6376953125,full,12.761094093322754,narrativeqa_65,narrativeqa,full,N/A,64,0.0,0.2285714285714286
64,1.591139793395996,40.22273860890861,993.0888671875,full,11.643570899963379,narrativeqa_66,narrativeqa,full,N/A,64,0.0,0.12121212121212122
14,0.390047550201416,35.893059686621704,993.0615234375,full,156.23287963867188,narrativeqa_67,narrativeqa,full,N/A,64,0.0,0.2222222222222222
28,0.7281560897827148,38.45329372766123,993.0615234375,full,62.09535217285156,narrativeqa_68,narrativeqa,full,N/A,64,0.0,0.19999999999999998
